Accuracy,Weighted Kappa,HL_Size,Initial Learning Rate,Learning Rate,Momentum
0.345,0.227730074,2,0.001,constant,0.1
0.352333333,0.21786193,2,0.001,constant,0.3
0.347666667,0.199146894,2,0.001,constant,0.5
0.363666667,0.232312081,2,0.001,constant,0.7
0.377,0.280096308,2,0.001,constant,0.9
0.345333333,0.242524416,2,0.001,adaptive,0.1
0.350333333,0.241274724,2,0.001,adaptive,0.3
0.349,0.228955184,2,0.001,adaptive,0.5
0.279666667,-0.001631848,2,0.001,adaptive,0.7
0.374333333,0.271585758,2,0.001,adaptive,0.9
0.37,0.27753512,2,0.01,constant,0.1
0.281333333,0.002117342,2,0.01,constant,0.3
0.375333333,0.283631104,2,0.01,constant,0.5
0.361,0.289255532,2,0.01,constant,0.7
0.386,0.314016084,2,0.01,constant,0.9
0.368666667,0.264768042,2,0.01,adaptive,0.1
0.373,0.284787409,2,0.01,adaptive,0.3
0.372,0.28344224,2,0.01,adaptive,0.5
0.371333333,0.281389019,2,0.01,adaptive,0.7
0.377,0.283336268,2,0.01,adaptive,0.9
0.386,0.332790543,2,0.05,constant,0.1
0.381,0.296186251,2,0.05,constant,0.3
0.374,0.288689136,2,0.05,constant,0.5
0.366666667,0.262732556,2,0.05,constant,0.7
0.376,0.330317805,2,0.05,constant,0.9
0.376333333,0.342943671,2,0.05,adaptive,0.1
0.373666667,0.28726427,2,0.05,adaptive,0.3
0.382333333,0.29149854,2,0.05,adaptive,0.5
0.378333333,0.288974259,2,0.05,adaptive,0.7
0.378333333,0.284649598,2,0.05,adaptive,0.9
0.372333333,0.267016759,2,0.1,constant,0.1
0.374666667,0.282601714,2,0.1,constant,0.3
0.386,0.306679555,2,0.1,constant,0.5
0.366,0.274894553,2,0.1,constant,0.7
0.338333333,0.279388706,2,0.1,constant,0.9
0.37,0.287072695,2,0.1,adaptive,0.1
0.372333333,0.290832239,2,0.1,adaptive,0.3
0.385,0.324868297,2,0.1,adaptive,0.5
0.384333333,0.322183676,2,0.1,adaptive,0.7
0.379666667,0.311550222,2,0.1,adaptive,0.9
0.358666667,0.309113891,2,0.5,constant,0.1
0.352666667,0.261140458,2,0.5,constant,0.3
0.357666667,0.285195601,2,0.5,constant,0.5
0.360666667,0.231307823,2,0.5,constant,0.7
0.35,0.267305832,2,0.5,constant,0.9
0.364666667,0.309604693,2,0.5,adaptive,0.1
0.38,0.287210681,2,0.5,adaptive,0.3
0.367666667,0.300323729,2,0.5,adaptive,0.5
0.383333333,0.320774599,2,0.5,adaptive,0.7
0.371666667,0.260522702,2,0.5,adaptive,0.9
0.360333333,0.199818695,2,0.9,constant,0.1
0.372333333,0.246693852,2,0.9,constant,0.3
0.269333333,0,2,0.9,constant,0.5
0.269333333,0,2,0.9,constant,0.7
0.269333333,0,2,0.9,constant,0.9
0.364,0.311351247,2,0.9,adaptive,0.1
0.362,0.306972653,2,0.9,adaptive,0.3
0.28,0,2,0.9,adaptive,0.5
0.28,0,2,0.9,adaptive,0.7
0.28,0,2,0.9,adaptive,0.9
0.358333333,0.210627818,5,0.001,constant,0.1
0.365666667,0.246870544,5,0.001,constant,0.3
0.364666667,0.238042223,5,0.001,constant,0.5
0.381666667,0.291088947,5,0.001,constant,0.7
0.395333333,0.329485535,5,0.001,constant,0.9
