Accuracy: 0.345, Weighted Kappa: 0.22773007427698466, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.35233333333333333, Weighted Kappa: 0.21786193043485524, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.3476666666666667, Weighted Kappa: 0.19914689416155684, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.3636666666666667, Weighted Kappa: 0.23231208100352685, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.377, Weighted Kappa: 0.2800963081861958, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.3453333333333333, Weighted Kappa: 0.242524416473483, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.35033333333333333, Weighted Kappa: 0.24127472432245056, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.349, Weighted Kappa: 0.2289551841836961, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.2796666666666667, Weighted Kappa: -0.0016318477107595264, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.37433333333333335, Weighted Kappa: 0.27158575844451216, Hidden Layer Size: 2, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.37, Weighted Kappa: 0.2775351198205642, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.2813333333333333, Weighted Kappa: 0.002117341711631693, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.37533333333333335, Weighted Kappa: 0.28363110363970445, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.361, Weighted Kappa: 0.2892555315758688, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.386, Weighted Kappa: 0.3140160839674301, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.36866666666666664, Weighted Kappa: 0.26476804185375113, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.373, Weighted Kappa: 0.284787408617048, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.372, Weighted Kappa: 0.28344223988089967, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37133333333333335, Weighted Kappa: 0.28138901878964473, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.377, Weighted Kappa: 0.28333626774653087, Hidden Layer Size: 2, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.386, Weighted Kappa: 0.33279054316141987, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.381, Weighted Kappa: 0.2961862509666653, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.374, Weighted Kappa: 0.2886891361677494, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.36666666666666664, Weighted Kappa: 0.2627325559995256, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.376, Weighted Kappa: 0.3303178053222112, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.37633333333333335, Weighted Kappa: 0.3429436705027257, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.37366666666666665, Weighted Kappa: 0.2872642697006389, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.38233333333333336, Weighted Kappa: 0.29149854013726284, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37833333333333335, Weighted Kappa: 0.28897425924897013, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.37833333333333335, Weighted Kappa: 0.2846495977877327, Hidden Layer Size: 2, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.37233333333333335, Weighted Kappa: 0.2670167586093287, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.37466666666666665, Weighted Kappa: 0.2826017136988854, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.386, Weighted Kappa: 0.3066795553407443, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.366, Weighted Kappa: 0.2748945534568128, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3383333333333333, Weighted Kappa: 0.2793887060798126, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.37, Weighted Kappa: 0.28707269528835644, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.37233333333333335, Weighted Kappa: 0.29083223949615233, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.385, Weighted Kappa: 0.32486829663649863, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.38433333333333336, Weighted Kappa: 0.32218367606824083, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.37966666666666665, Weighted Kappa: 0.3115502220310076, Hidden Layer Size: 2, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.3586666666666667, Weighted Kappa: 0.309113891457263, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.3526666666666667, Weighted Kappa: 0.26114045780847894, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.3576666666666667, Weighted Kappa: 0.2851956013271444, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.3606666666666667, Weighted Kappa: 0.23130782302221664, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.35, Weighted Kappa: 0.26730583164746247, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.36466666666666664, Weighted Kappa: 0.30960469300970705, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.38, Weighted Kappa: 0.2872106807625786, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.36766666666666664, Weighted Kappa: 0.30032372896071835, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.38333333333333336, Weighted Kappa: 0.32077459948991294, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.37166666666666665, Weighted Kappa: 0.2605227024314727, Hidden Layer Size: 2, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.36033333333333334, Weighted Kappa: 0.19981869530351115, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.37233333333333335, Weighted Kappa: 0.24669385199933924, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.2693333333333333, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.2693333333333333, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.2693333333333333, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.364, Weighted Kappa: 0.31135124704520223, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.362, Weighted Kappa: 0.30697265312649935, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.35833333333333334, Weighted Kappa: 0.21062781799883834, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.36566666666666664, Weighted Kappa: 0.246870544135527, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.36466666666666664, Weighted Kappa: 0.2380422229792042, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.38166666666666665, Weighted Kappa: 0.29108894668933183, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3953333333333333, Weighted Kappa: 0.3294855351289725, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.3426666666666667, Weighted Kappa: 0.18764019070199822, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3586666666666667, Weighted Kappa: 0.2175978257764647, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.362, Weighted Kappa: 0.23167616427588922, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37533333333333335, Weighted Kappa: 0.2682340785948557, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.36766666666666664, Weighted Kappa: 0.27559272267149004, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.3873333333333333, Weighted Kappa: 0.2890013251415492, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.395, Weighted Kappa: 0.3198100818264471, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.3
