PetID,AdoptionSpeed
77b890534,4
fc19f9c36,3
26b70a13a,1
933b2b3d4,2
c18984292,3
baf60f1bb,4
dbfc5a778,4
7efd5522d,1
7a58cfb6e,2
9907dde11,3
62583aec1,4
27aa5bbfe,2
4a874872c,4
2630db5dc,1
f7c487e58,4
12dd13adf,1
e9c78e9fb,3
e9d8c098c,1
8e8d158cf,3
705d4f296,1
7e4ac998c,4
8f31c806f,1
f2212e16c,1
5f9cf8892,1
7b052d37d,3
d4ae1eedd,1
9c95b7659,0
d02861aca,4
d867c4016,1
aa8e2a85d,1
bc4f18ced,3
979e3f8f7,3
8364bf2eb,4
4a78b3e0b,1
f220ae6cd,1
08e703dfc,3
f6575f08d,4
938bcb826,1
6b574c312,1
f18d332de,4
5a3113fdd,1
b17f7a1fc,1
70503cc75,1
962f76f58,4
f5f1ea56c,1
faa62a75b,4
5328a3ad8,2
ece36dc30,1
f759dc332,2
f9a3f579a,4
706d1c836,1
a2a899dab,3
c458c51c0,2
71deb8267,0
91d307ce9,3
be23e42d0,2
8a9a4edd7,2
4badb22cb,1
b11103508,1
91d6a2898,1
9f2e4a2e1,4
2256216b1,4
707b0c535,3
b96b7da59,2
840538f14,3
4daad230c,4
bde802b84,4
ba7d1a755,1
47da8bc00,4
70a7a71fe,2
e27cb9ac7,1
1e5b2baa8,3
bee984e11,4
78599649f,1
f28036d8a,3
93df8b5c7,1
cc195b43d,4
f3c7e1bf4,3
d9c0e3284,2
9f7bf4f71,2
b0c159af4,1
18f45d2ad,3
b5486d844,3
f39938992,1
51cdc726a,2
58d54417f,4
812240d28,3
8d8895245,3
967fa3210,4
cb14d1ba1,2
0b807a7dd,3
f1953d1cd,3
bcb22c952,2
c4e1afd9e,2
75f582ad6,1
4f6c8d13e,3
699365a99,2
c444c2936,2
edac3b595,2
979bab13e,1
2b6fe231b,3
366a4544f,2
74e18bd5e,1
85ca390a0,2
5e5038eb5,2
2e76362c0,4
f0982978a,1
8a90cfe39,2
206db8d8d,4
162195d38,0
2c281057a,1
1cd8131cd,2
2907a1335,3
c40b30ff3,4
3209cdc3c,2
e6151d695,2
df1d3b1ec,4
ada6358f5,3
97baac4eb,1
a7baf1366,1
38664cbf0,2
489dad256,3
00a1a8af4,2
f8bf52aea,3
96ad2141c,2
06bf9e676,1
1326c53f9,3
c50926700,4
493215800,1
5dca19c12,2
19db3e21f,4
492e0cc50,2
2f3bed708,2
cef75bfab,3
1171c9a41,4
ca5a9ff9c,4
3397adec3,4
9a21528ec,0
b7b07aaec,2
d15a5363e,3
24361123a,4
2e562fa52,4
d1ef30b8a,4
50361acf5,3
8170c6b01,2
4bcc7910d,4
b96e5f6a6,1
a345b4406,2
97b9d93d4,2
2bd8e5830,4
2b3387bd7,3
615afad71,4
207ad2902,3
282f456cb,3
48615e613,1
6bd434dc9,1
a119ce67e,2
aece30836,2
6adc3bf2f,4
b596f518f,4
5027f31e5,4
57af29aba,3
5f4f3347f,3
5e6a7ea61,4
795a443ea,1
bcfea60f5,2
f810c2cae,2
fb30a71b2,4
1c8ab73ca,2
c1278fe60,2
fe09dbb56,3
f3a9092a2,1
796774834,2
50fe7d515,1
01919fe72,2
f70a1bf5d,1
171113c99,1
e6e536800,4
0211e2f2d,3
bfbaff540,2
ab4ab38d7,4
19cf5ba9d,3
3bf7bccc9,4
45d384cb1,3
28484f496,1
41c83dda8,1
6bed4e9d5,3
89ba257e1,1
e910d17de,1
97cd20357,1
96607bca0,2
4cc8c07d5,3
f454ac205,3
1d8dd930a,1
f8b975c1f,2
854319675,3
8cae4a15b,4
d672df50c,1
37c989ac5,1
19b1f4263,0
4ce620a7a,1
9223ca4fa,1
fe65d17b1,4
182aa4a29,1
b24b7d23e,4
08bfdc66f,3
a9294a9ea,1
382cc2865,2
0b4a33baa,3
ceed27182,2
4479fdc71,2
0cc3e27b5,2
f8e3f9ddf,3
4f8a564a2,3
6dac8ec35,3
164857bd8,0
9a34ddc8b,2
ad19a6ee0,1
91389ff80,4
49360414f,4
4802207be,3
4d3e3a146,3
6d94a56ef,1
c8c71e90a,2
58c5f739c,1
91e996718,1
8fee07184,2
76d876216,2
cf85bd080,2
694a730b4,3
a819792f7,1
e25112cac,2
048cd8bc0,2
434a2904c,2
ad937498b,2
dd5797b7f,1
077001793,3
d8664fb93,1
2d9dd14b1,2
b7a54fea5,3
0e4ef28c9,4
9162433d5,3
e3b6b7d2e,2
34edfc9d5,4
b1d1e399c,3
f00413d87,1
6697a7f62,4
638447198,3
059cfed40,3
506bacb46,3
89788a8fd,2
0cd614218,2
2b3ec0f96,3
ab4407477,4
fea00b643,4
ae4ebeb3e,2
8cfba1686,3
aba4e5336,4
528115548,2
dd065921b,2
6102346ee,3
18ee92cdf,3
6e643eba1,4
ae1db9841,1
c0604b559,1
e2a9dd71a,4
121af879a,2
b4d0c60b6,4
eb77ec282,4
cc8459867,1
4747bead4,0
01dc16c21,1
f095385ff,2
a8055a2ba,2
16673c028,3
4b7f7fcca,2
1cd5acd7a,1
0c46298f8,1
9430042a3,1
4012be917,2
c83fe0079,4
3e2fdd907,1
dd2452dfa,1
ec7517f68,2
fb1a745e6,0
ea3aa721e,3
1a91262f6,2
a24a102b1,2
1e7ada2f7,1
440ab06be,0
791e6dc19,1
412b8d565,3
6b24d9186,1
5b0f07923,1
b8d35b6c3,3
597a7afc2,2
634f65242,3
ac6d69d99,4
b70f7c3d6,2
7ac41d8ae,4
1f4871c30,2
7a5091ca2,2
ed89380a6,1
f526c71a0,4
6fdb43f0b,2
bbbeb3ab0,1
c59199ff4,4
532ccd0c5,3
77e6966dc,2
b0855d1dd,2
d3486b178,4
7b4ff27b3,1
c879064dc,4
7c4b2e0c0,2
51df78553,3
452a50855,1
e736f4022,1
5e696928a,4
10a6c97d5,2
f8d16f3ef,1
745fd19b8,3
54c2d49bb,2
e83f846eb,1
38e7577af,1
599d24d23,3
ef73ab8c6,4
3d8a35224,3
a37a24a58,1
3e6fa700b,4
bad270818,3
aaadb1aac,4
1076dcc35,1
b1db9573c,2
2e74deb7b,4
df25863ad,3
447be811f,1
8910e2c01,3
7db48c47a,4
10eaafcd9,4
d39684633,1
e58dd05c8,1
d77a6813d,2
60f317698,3
79ec57bd7,4
75bfbc825,4
0459c7bb7,4
64f06dc3b,1
dfcbce94d,2
1aaa74b35,2
b5b6b9398,4
2e3bfe5a9,3
87a16f3fb,3
18cd75354,2
0936ce7b4,2
82a97cd8d,4
1bcec6d18,2
d3dd7e6a7,4
03f65bdd3,1
250f59089,2
997653f86,4
35cc85250,1
6c054c4ef,3
a56d6eceb,2
9a96189d5,3
074042a24,2
5abbde253,2
528563012,3
fe88a5777,2
2099c09a0,2
a963a6979,4
8d05a7ab1,4
f3551e91f,2
54fa86958,1
1d9c36e47,4
0c281122e,3
ed7cde89e,4
1ee56e81a,4
f20fa5c38,2
42d2aa0bf,2
774289137,2
8cee52ff2,4
6c5079e85,1
8cccc67d4,3
b593502c5,0
80ec7f00d,1
e6a5867d8,0
954243934,4
f477f306f,1
fecec878e,4
6c7c5555f,2
181d40c5e,4
b567ca662,2
603d1d51c,1
a05c489dc,3
4fc9dee58,4
efb36dced,1
63647ce22,3
300337abe,2
909d9e158,1
f5d79ff56,4
0157cf3a4,1
d010fb743,1
7754f4f3f,2
4a4d8cadb,2
16eefbec7,4
a46794d88,2
3a0e3b527,2
3f2d1ff6c,2
96a35824d,2
8b636912d,2
310045474,3
a3727cc47,1
2dd6e4186,2
e488a36cf,4
523aeba08,1
e4bc68f06,1
472e86a83,4
d0f8b280d,1
9c8209bae,2
41e4574a6,1
6945dbebb,2
27f0a51cd,1
bdde3b5ca,3
e507f855b,4
28ce3c3ea,1
bd2084cc9,2
1c107ce2b,4
98b66836d,3
eb8620132,4
02cf14499,2
649589d9f,2
52dae90aa,2
915f0b42a,3
a6c985a00,0
db3c2be5c,4
1ba69dec6,4
2b7222d13,1
f87489d3e,2
8fb06a963,4
d0d2a12a2,2
b99644a34,1
62f87187d,1
db4165316,3
0ad87f5c5,4
bb7dfc592,1
a89af346d,3
8f2daa8e3,2
7889399ac,4
b6661be84,1
8abb96298,1
576f4893f,2
795cb17ef,1
fa5f5ccf9,2
42bec87cd,3
56d6e2c8b,4
cb568959e,0
8111f6d4a,2
b12fb6709,3
c32ecd5bf,1
eb6c692dc,4
644d07ccb,3
27b272e59,4
3fbc3ca27,2
47aacf137,2
c1c16ac86,4
91568ddf1,3
d99c980a9,4
2fe763187,3
8e6e9b877,1
507db6e4f,2
7b81592b9,1
4c6fe4100,4
aa686c375,1
1c2f669f2,2
d937730d8,3
0e1b8bb74,1
6ae4fc251,3
3aa13a0b0,3
74084fa99,4
58b4ba48f,4
59f4e3255,3
f15d587a7,4
fd9375e71,2
fe4bb01a6,3
245d6e033,4
73013560f,4
91c2159dd,4
451bf38f1,4
ac813296c,3
5c7136c2e,3
539177546,1
cb9aa1b3a,1
6c5b67698,3
9a3224461,3
bc7b17cd5,3
c29059110,2
ac809f1ba,0
08a71b8d1,1
10e27da02,1
1a3c44785,4
ed390241b,1
c49629a90,2
dcb42ee1e,2
66b206dbe,0
a1be4d855,4
d7c6e0401,4
b37af97a8,3
ea92dcef6,2
80b25cc78,1
468cec390,2
0f6f980c9,1
05d3e4d55,1
4dc6822f8,4
e50fb0c6c,4
5adb9d9b3,3
8b1b5fcfc,2
f135e422d,2
46c5fd256,3
c576fd55e,4
16d7f208a,2
caa9a4f53,3
e49b7c262,2
004c2f355,1
79a352e54,4
52a88696e,4
a6fbe0f38,3
cd81fa60a,4
4d6350e54,1
326355730,2
d4b5c41ac,4
833c51fd2,4
f99af9837,1
7e43a342a,4
c8d27db32,3
0b6064845,4
111748c15,2
41bc94422,4
386e1a0fd,2
199277f1a,4
02c40b53c,1
0173c456c,4
270bd311c,2
7bfe2d68f,1
628a224b2,4
cf2e67122,4
fe16bb525,3
062e2772c,3
b2145e15d,1
1b91e1082,2
a972fe14a,2
439f040ed,4
fd3804c20,2
c61869b9b,4
5fcd44bf9,3
10ae2697f,2
3ecdd4122,4
84057a73d,2
13fb61859,0
86c1be8f0,2
b34dce3d6,4
5118055f4,2
1a2816f0f,2
1117a135d,4
bbf6ed419,2
269a6756f,2
02d644003,1
15600cfea,1
183eb3fe5,3
ef50eab33,3
ce18c7a4b,2
ac3a5c473,1
3be154287,1
92e87765e,3
d7d371a3d,4
d0f4115e6,2
48317c9e5,3
5d1fa8ddf,2
ecd574ddb,2
5fc6599fc,3
4a0adfdd0,3
70b7cb06d,4
e239373ff,2
34452eefb,4
fa27f275a,2
cc492b6b5,4
0dc32d6fd,2
133234595,4
a4c99a552,1
fe86005a1,2
c2bc9cfc3,4
aded1fafc,2
1b1fdfd71,4
29c50ee9a,1
9ebf6e448,1
be0888771,4
1e62e6022,1
5b346ef59,1
c51c9e136,3
aca81d4a7,2
0d551fb5b,4
2edfe6ec8,3
28dfa1c39,4
c15b3c9f1,2
f7bf646ee,4
7e1af1787,2
b05d0484f,1
45f9a9f66,1
7d19330cb,2
df8ad80b3,3
28cf4a84d,1
75a803430,4
82f1872bf,1
e454518b8,4
ca9841ab1,1
c79019195,3
97aa9eeac,3
6f8ae496e,4
0a4b42306,0
da78c5792,4
ea3c51eb3,2
871ea8021,3
8b03c494a,0
2cf4994e7,4
3c155d21c,2
cdf5760e8,2
a89005005,2
a978a37e7,1
22987c7fb,2
47ae048a5,3
73ab55e8c,4
f7999c9bf,2
1b871dbaa,4
a4550efe5,2
05fb5b403,3
f51e72db2,1
191660250,0
fc9b4b692,4
58bfbd845,3
c712cfd20,1
1d6944a82,1
2e9a53eb0,4
505c5d7c6,4
298feb02b,3
fe5dc391c,1
4bbc7992a,2
d1531602c,3
221331819,4
68b8dab3b,1
5fc06cf73,4
20c3c2ba7,2
c6da0beba,0
2910c35cc,3
fdb71d0c8,4
8ef67ba31,0
7e87938c3,2
0c3f6001a,1
3a67f200f,4
497ef36aa,2
94dc821ee,3
63f2be2e0,2
0c47e700c,1
5c810c552,4
bc5058e64,4
8b85a3893,3
38f06e4fe,1
14155e8c0,4
da3702af2,2
aac1167f3,2
bde1336b6,2
ec4351554,2
eaab63bd7,1
a2fecc9a4,1
c30dd6e9a,1
09ca98f7b,3
b98316a91,2
1c69743d6,2
3aa4a07dc,4
fc7f99ad7,4
cf419ae71,1
d3b7112e2,2
ec53a8725,4
46feadc45,1
a970b89c7,1
c0b1f82b1,4
18553e89b,3
68d430cbd,4
4c5db9ed6,2
6e31c1647,3
67a68df4a,4
c53fb8a18,2
3285d041f,2
448659511,0
0c2e0fc7d,2
9a965c1f0,2
ee36e2198,4
9e6d5d0df,4
137916924,4
24890da9b,2
b4bf9e247,1
6708ff204,0
f95db0cb5,2
0fd9076d7,2
c362cc3cd,1
146d950bc,1
3c6f9a4e7,1
49b868ae2,4
f29cacb97,1
4e8daf8fd,2
c7c443855,4
1b6d1b049,1
d4c153877,1
62b9cb163,3
85ec1aac0,4
bb2e480f4,4
921817343,3
23c4874d8,4
6824120c3,3
26d0bfe44,3
db61b1f31,1
07417927d,0
f4614847a,2
5e0519e3d,4
785a95244,3
e60bbc064,2
6c5f1f0a3,3
2af9db4dc,4
33826a08a,3
d52c77d14,4
2b8008b16,3
52e6abd35,4
f35683806,3
95b24de4a,4
8f1d6224d,3
1ba11aaaa,2
4e0d70679,3
c1f16a59a,1
fbc6507e7,2
fc96276a7,3
